city,date,cpi,violent crime,property crime,patents,population,unemployment,case shiller,education and health,medical care,motor fuel,income,food and bev,DOW,SP500,NASDAQ
portland,06-13,236.72416666666666,2941.0,29633.0,326.0,771.9874166666666,6.8,153.02948429452601,0.19895791145976455,498.69899999999996,313.0136666666667,45824.41666666667,222.564,15041.55025,1619.6004999999998,3418.7387500000004
portland,07-13,237.322,2941.0,29633.0,329.0,772.9894999999999,6.8,154.447988878104,0.19816013037696764,500.43,311.396,46023.50000000001,223.207,15376.763181818184,1667.2590909090911,3557.743181818182
portland,08-13,237.72683333333333,2941.0,29633.0,305.0,773.9915833333333,6.5,156.36414172798598,0.19973734761319217,501.0806666666667,312.1358333333333,46222.58333333334,223.61266666666666,15210.797954545456,1671.0681818181815,3639.599318181819
portland,09-13,238.13166666666666,2941.0,29633.0,355.0,774.9936666666666,5.9,157.997800856391,0.19980019085454678,501.73133333333334,312.87566666666663,46421.66666666667,224.01833333333332,15262.410750000001,1686.279,3729.6160000000004
portland,10-13,238.5365,2941.0,29633.0,313.0,775.9957499999999,6.0,159.16471604103901,0.20027045625876047,502.382,313.6155,46620.75,224.42399999999998,15280.309130434782,1718.4804347826084,3845.9126086956517
portland,11-13,238.94133333333335,2941.0,29633.0,228.0,776.9978333333333,5.6,160.160382597862,0.2005550125126286,503.03266666666667,314.3553333333333,46819.833333333336,224.82966666666664,15857.479499999998,1782.5312499999995,3955.8287499999997
portland,12-13,239.34616666666668,2941.0,29633.0,216.0,777.9999166666666,5.5,161.200036544065,0.20050189305763122,503.68333333333334,315.0951666666666,47018.91666666667,225.2353333333333,16084.92857142857,1807.1016666666665,4075.7111904761905
portland,01-14,239.751,2911.0,32229.0,308.0,779.002,6.2,162.394316238757,0.20097273166482885,504.334,315.835,47218.0,225.641,16265.594523809523,1824.0271428571427,4155.571428571429
portland,02-14,240.239,2911.0,32229.0,306.0,779.97875,6.3,163.893229931041,0.20002746308607255,505.9325,314.07516666666663,47463.416666666664,226.62116666666665,15941.462894736844,1815.0284210526315,4195.909736842104
portland,03-14,240.727,2911.0,32229.0,280.0,780.9554999999999,6.2,165.17210135506,0.20070007856086294,507.531,312.3153333333333,47708.83333333333,227.60133333333332,16305.731904761904,1863.529285714286,4282.935476190477
portland,04-14,241.215,2911.0,32229.0,331.0,781.93225,5.4,166.251843182999,0.20067274228335383,509.1295,310.55549999999994,47954.24999999999,228.58149999999998,16396.920000000002,1864.3897619047618,4125.177380952383
portland,05-14,241.703,2911.0,32229.0,302.0,782.909,5.4,166.372290985637,0.2011810763490661,510.728,308.79566666666665,48199.66666666666,229.56166666666664,16564.183333333334,1888.892619047619,4132.698095238096
portland,06-14,242.191,2911.0,32229.0,299.0,783.8857499999999,5.7,166.942039499848,0.20213316221105054,512.3265,307.03583333333336,48445.08333333333,230.54183333333333,16840.53214285714,1946.1111904761904,4328.366666666667
portland,07-14,242.679,2911.0,32229.0,268.0,784.8625,6.0,167.183242914119,0.2016281476592996,513.925,305.276,48690.49999999999,231.522,16994.3075,1973.855227272727,4435.631136363635
portland,08-14,242.7285,2911.0,32229.0,268.0,785.83925,5.9,167.843437817605,0.20123339516474012,516.5863333333333,293.86483333333337,48935.91666666666,231.73466666666667,16762.904047619046,1960.1035714285715,4462.225476190475
