atlanta,boston,chicago,cleveland,dallas,denver,detroit,la,miami,minneapolis,nyc,phoenix,portland,sf,seattle,tampa,dc,date,cpi,crimes_reported,crimes_cleared,patents,population,unemployment,case_shiller,dow,nasdaq,sp,label
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-99,178.6,78945,37792,1334,8009.579916666667,4.5,99.351966699375,184.5991606924,11246.359090909093,3737.391818181818,1428.6836363636367
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-05,208.1,54623,0,1524,8213.839,5.7,187.172011325364,172.359355993314,10546.8205,2076.6014999999998,1181.4080000000001
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-05,208.9,54623,0,1366,8216.899666666666,5.7,189.792271461304,172.440573466902,10715.70947368421,2065.5918421052634,1199.626842105263
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-05,212.4,54623,0,1656,8219.960333333333,5.0,193.188487164266,172.262510340451,10687.933863636363,2032.5088636363632,1194.8977272727275
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-05,212.5,54623,0,1580,8223.021,4.8,195.17067723409698,171.97297076709,10290.35238095238,1960.0280952380951,1164.4233333333334
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-05,211.4,54623,0,1578,8226.081666666667,4.7,196.732264109183,172.285860681447,10369.910952380953,2001.84380952381,1178.2757142857142
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-05,210.7,54623,0,1736,8229.142333333333,4.8,198.197124532074,172.554704960709,10490.78318181818,2074.768181818182,1202.2554545454543
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-05,212.5,54623,0,1351,8232.203000000001,5.1,199.811020307034,172.832184638555,10535.58425,2141.73325,1222.2369999999999
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-05,214.1,54623,0,1704,8235.263666666668,4.7,201.49879521804297,171.86048699468398,10556.961521739131,2158.260217391304,1224.2700000000002
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-05,215.8,54623,0,1619,8238.324333333334,4.9,204.07555290721,171.602996570414,10530.336428571427,2145.057142857143,1225.914761904762
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-05,216.6,54623,0,1457,8241.385,4.6,206.679286868736,169.28880363244,10327.085238095236,2088.3969047619053,1191.964285714286
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-05,215.3,54623,0,1526,8244.445666666667,5.0,209.32121093743,168.781229113656,10685.758095238094,2200.754523809524,1237.3685714285714
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-05,214.2,54623,0,1550,8247.506333333335,4.7,212.05222797182998,168.306499011399,10829.437380952382,2247.4228571428575,1262.0719047619045
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-06,215.9,52086,0,1408,8250.567000000001,5.1,213.50447476155497,167.190598234433,10868.62275,2288.17775,1278.723
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-06,216.4,52086,0,1403,8255.537416666668,5.3,215.053677358489,166.610367605764,10966.815789473685,2273.8997368421055,1276.6452631578948
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-06,218.2,52086,0,1650,8260.507833333333,4.9,215.719662977322,165.504842617587,11141.662391304348,2299.269782608696,1293.74
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-06,220.2,52086,0,1472,8265.47825,4.6,216.450826511951,167.130224060269,11226.902894736842,2339.635789473684,1302.1836842105265
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-06,221.6,52086,0,1672,8270.448666666667,4.3,216.617845454496,166.836037780852,11337.735681818182,2248.9036363636365,1289.9999999999998
