DATE,PORT941EDUH
2014-11-01,159.731224440952
2014-12-01,160.491145415235
2015-01-01,160.75228813177299
2015-02-01,161.489958477994
2015-03-01,161.60207058843702
2015-04-01,162.143135094574
2015-05-01,162.254893834199
2015-06-01,163.158073634727
2015-07-01,163.827469195286
2015-08-01,163.686445834833
2015-09-01,164.375954744816
2015-10-01,165.107037167081
2015-11-01,165.575983299897
2015-12-01,166.037393352631
2016-01-01,166.758528102107
2016-02-01,167.389615570243
2016-03-01,167.529451578032
2016-04-01,168.058022816961
2016-05-01,168.003702609067
2016-06-01,168.075731924872
2016-07-01,168.62351779356501
2016-08-01,169.425279257648
2016-09-01,170.183695772276
2016-10-01,171.395551172824
2016-11-01,171.810636502658
2016-12-01,171.743814917574
2017-01-01,170.25023922424802
2017-02-01,172.826494710435
2017-03-01,174.02052406273899
2017-04-01,173.37631627109403
2017-05-01,174.44937951863997
2017-06-01,174.41637171488998
2017-07-01,174.710821054898
2017-08-01,175.247144566261
2017-09-01,176.002347166394
2017-10-01,175.350628491496
2017-11-01,175.725857931645
2017-12-01,176.302651646779
2018-01-01,182.969220938354
2018-02-01,182.929687019309
2018-03-01,184.05003588647998
2018-04-01,184.192385689096
2018-05-01,184.88010714576401
2018-06-01,185.425822303157
2018-07-01,184.604859333047
2018-08-01,184.695996521873
2018-09-01,184.837210739202
2018-10-01,185.51768724945998
2018-11-01,185.409517832052
2018-12-01,185.684420087584
2019-01-01,186.801377192464
2019-02-01,186.797164586111
2019-03-01,187.448055238704
2019-04-01,188.00439342500198
2019-05-01,187.288666220356
2019-06-01,187.114198601885
2019-07-01,187.851485523421
2019-08-01,188.444037883568
2019-09-01,188.807490405483
2019-10-01,188.939720101744
2019-11-01,189.36943628993998
2019-12-01,189.873564521096
2020-01-01,191.30830063845502
2020-02-01,191.002145966979
2020-03-01,189.166884801066
2020-04-01,164.22892111735902
2020-05-01,166.714659208439
2020-06-01,172.38438596833402
2020-07-01,175.384168573412
2020-08-01,175.655294155868
2020-09-01,175.66352324268502
2020-10-01,176.150844123876
2020-11-01,176.384093972587
2020-12-01,176.114452360127
2021-01-01,176.422080144007
2021-02-01,176.40790946689998
2021-03-01,177.707760769198
2021-04-01,177.93128270024602
2021-05-01,178.40236517042197
2021-06-01,179.124372981384
2021-07-01,179.562367380022
2021-08-01,179.252424961674
2021-09-01,178.97953400471403
2021-10-01,177.51041624879798
2021-11-01,179.175645790317
2021-12-01,180.36611031174598
2022-01-01,180.855497693979
2022-02-01,182.100337362709
2022-03-01,182.30625755412498
2022-04-01,182.746624147464
